BenchMark::doResolutionInterview(AutoRef<DFCPrimaryWindow>,bool)	.text	00401000	00001477	00000060	0000000C	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<AutoRef<WorldEntity>,WorldUI::Indicator,std::less<AutoRef<WorldEntity>>,std::allocator<std::pair<AutoRef<WorldEntity> const,WorldUI::Indicator>>,0>>::_Rrotate(std::_Tree_nod<std::_Tmap_traits<AutoRef<WorldEntity>,WorldUI::Indicator,std::less<AutoRef<WorldEntity>>,std::allocator<std::pair<AutoRef<WorldEntity> const,WorldUI::Indicator>>,0>>::_Node *)	.text	0040E000	00000055	00000004	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<AutoRef<WorldEntity>,WorldUI::Indicator,std::less<AutoRef<WorldEntity>>,std::allocator<std::pair<AutoRef<WorldEntity> const,WorldUI::Indicator>>,0>>::_Lrotate(std::_Tree_nod<std::_Tmap_traits<AutoRef<WorldEntity>,WorldUI::Indicator,std::less<AutoRef<WorldEntity>>,std::allocator<std::pair<AutoRef<WorldEntity> const,WorldUI::Indicator>>,0>>::_Node *)	.text	0040E060	00000051	00000004	00000004	R	.	.	.	.	B	.	.
std::_Tree<std::_Tmap_traits<String,DataValue,std::less<String>,std::allocator<std::pair<String const,DataValue>>,0>>::insert(std::pair<String const,DataValue> const &)	.text	0040E0C0	000000CB	00000014	00000008	R	.	.	.	.	B	.	.
std::pair<String const,DataValue>::pair<String const,DataValue>(String const &,DataValue const &)	.text	0040E190	00000080	00000018	0000000C	R	.	.	.	.	B	.	.
std::pair<String const,DataValue>::~pair<String const,DataValue>(void)	.text	0040E200	0000004D	00000000	00000000	R	.	.	.	.	.	.	.
DataValue::operator String(void)	.text	0040E250	00000017	0000000C	00000000	R	.	.	.	.	B	.	.
DFCMatrix4::getInverse(DFCMatrix4 &)	.text	0040E270	00000097	00000000	00000000	R	.	.	.	.	.	T	.
DFCMatrix4::translationMatrix(float,float,float)	.text	0040E310	00000087	0000004C	0000000C	R	.	.	.	.	B	.	.
DFCMatrix4::identity(void)	.text	0040E3A0	00000037	00000000	00000000	R	.	.	.	.	.	T	.
DFCMatrix4::rotateXMatrix(float)	.text	0040E3E0	0000008A	00000044	00000004	R	.	.	.	.	B	.	.
DFCMatrix4::rotateZMatrix(float)	.text	0040E470	0000008A	00000044	00000004	R	.	.	.	.	B	.	.
DFCMatrix4::transform(DFCMatrix4 const &,_COMBINETYPE)	.text	0040E500	0000005F	0000008C	00000000	R	.	.	.	.	B	.	.
operator*(DFCMatrix4 const &,DFCMatrix4 const &)	.text	0040E560	00000222	0000004C	00000000	R	.	.	.	.	B	.	.
DFCMatrix4::translationMatrix(Vector3 const &)	.text	0040E790	00000086	0000004C	00000000	R	.	.	.	.	B	.	.
DFCMatrix4::lookAtLH(Vector3 const &,Vector3 const &)	.text	0040E820	00000137	00000034	00000000	R	.	.	.	.	B	T	.
Vector3::operator-(Vector3 const &)	.text	0040E960	0000003E	00000010	00000000	R	.	.	.	.	B	.	.
Vector3::operator+(Vector3 const &)	.text	0040E9A0	0000003E	00000010	00000000	R	.	.	.	.	B	.	.
Vector3::normalize(void)	.text	0040E9E0	0000004D	00000000	00000000	R	.	.	.	.	.	T	.
VectorType::VectorType(Vector3 const &)	.text	0040EA30	00000048	0000000C	00000000	R	.	.	.	.	B	T	.
VectorType::operator Vector3(void)	.text	0040EA80	00000023	00000000	00000000	R	.	.	.	.	.	.	.
DFC3DCamera::setGraphics(DFC3DGraphics *)	.text	0040EAB0	0000003F	00000000	00000000	R	.	.	.	.	.	T	.
String::operator<(String const &)	.text	0040EAF0	0000007F	00000008	00000000	R	.	.	.	.	.	.	.
String::operator=(char const *)	.text	0040EB70	00000021	00000008	00000000	R	.	.	.	.	.	.	.
ChatControl::Line::~Line(void)	.text	0040EBA0	00000097	00000014	00000004	R	.	.	.	.	B	T	.
ChatControl::getClass(void)	.text	0040EC30	00000006	00000000	00000000	R	.	.	.	.	.	T	.
_register_class_ChatControl::_register_class_ChatControl(void)	.text	0040EC40	00000166	00000024	00000004	R	.	.	.	.	B	T	.
ChatControl::ChatControl(WorldUI *)	.text	0040ED80	000008D3	00000020	00000008	R	.	.	.	.	B	T	.
ChatControl::`scalar deleting destructor'(uint)	.text	0040F590	00000022	00000008	00000001	R	.	.	.	.	B	T	.
Vector<ChatControl::Line>::~Vector<ChatControl::Line>(void)	.text	0040F5C0	00000005	00000000	00000000	R	.	.	.	.	.	.	.
ChatControl::~ChatControl(void)	.text	0040F5D0	000001BB	0000001C	00000004	R	.	.	.	.	B	T	.
ChatControl::initialize(GatewayClient *)	.text	0040F710	000003D2	0000002C	00000000	R	.	.	.	.	B	T	.
ChatControl::setSuggestion(String)	.text	0040FA50	00000034	0000000C	00000004	R	.	.	.	.	B	T	.
ChatControl::setLastSender(String)	.text	0040FA90	000001E6	0000002C	00000004	R	.	.	.	.	B	T	.
ChatControl::getReplySuggestion(bool)	.text	0040FC60	000000CE	00000010	00000001	R	.	.	.	.	B	T	.
ChatControl::getLastSender(void)	.text	0040FD30	0000008C	00000018	00000004	R	.	.	.	.	B	T	.
ChatControl::getSuggestion(void)	.text	0040FDC0	00000090	00000018	00000000	R	.	.	.	.	B	T	.
ChatControl::doEvent(AutoRef<DFCEvent>)	.text	0040FE50	00000229	00000030	00000004	R	.	.	.	.	B	T	.
ChatControl::invalidateLayout(void)	.text	00410060	00000005	00000000	00000000	R	.	.	.	.	.	T	.
ChatControl::processDrawEvent(AutoRef<DFCDrawEvent>)	.text	00410070	0000014A	00000028	00000004	R	.	.	.	.	B	T	.
ChatControl::addLine(AutoRef<DFCControl>)	.text	004101A0	00000526	00000050	00000008	R	.	.	.	.	B	.	.
ChatControl::startTell(String const &)	.text	00410650	000000E2	00000014	00000004	R	.	.	.	.	B	T	.
ChatControl::onUserNameClick(AutoRef<DFCEvent>)	.text	00410720	00000096	00000020	00000004	R	.	.	.	.	B	.	.
ChatControl::onUserNameRightClick(AutoRef<DFCEvent>)	.text	004107A0	000000BD	00000020	00000004	R	.	.	.	.	B	.	.
ChatControl::update(void)	.text	00410850	00000970	00000088	00000004	R	.	.	.	.	B	T	.
ChatControl::onReturn(AutoRef<DFCKeyboardEvent>)	.text	00411150	000004B5	00000024	00000004	R	.	.	.	.	B	.	.
ChatControl::onScroll(AutoRef<DFCEvent>)	.text	004115C0	00000111	00000020	00000004	R	.	.	.	.	B	.	.
ChatControl::onEnd(AutoRef<DFCEvent>)	.text	004116C0	00000126	00000024	00000004	R	.	.	.	.	B	T	.
AdminUI::getClass(void)	.text	004117D0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
AdminUI::AdminUI(void)	.text	004117E0	00000023	00000000	00000000	R	.	.	.	.	.	T	.
AdminUI::Init(ZoneClient *,ChatClient *,UserManagerClient *)	.text	00411810	00000A92	00000024	00000004	R	.	.	.	.	B	T	.
AdminUI::~AdminUI(void)	.text	004120E0	0000000D	00000000	00000000	R	.	.	.	.	.	T	.
AdminUI::sendAdminCommand(char const *)	.text	004120F0	00000049	00000010	00000000	R	.	.	.	.	B	T	.
AdminUI::onInvisible(AutoRef<DFCMouseEvent>)	.text	00412140	00000095	00000018	00000004	R	.	.	.	.	B	.	.
AdminUI::onInvulnerable(AutoRef<DFCMouseEvent>)	.text	004121D0	00000095	00000018	00000004	R	.	.	.	.	B	.	.
AdminUI::onInvincible(AutoRef<DFCMouseEvent>)	.text	00412260	00000095	00000018	00000004	R	.	.	.	.	B	.	.
AdminUI::onSuperSpeed(AutoRef<DFCMouseEvent>)	.text	004122F0	00000095	00000018	00000004	R	.	.	.	.	B	.	.
AdminUI::onLevelSelf(AutoRef<DFCMouseEvent>)	.text	00412380	0000007B	00000018	00000004	R	.	.	.	.	B	.	.
AdminUI::onGiveGoldSelf(AutoRef<DFCMouseEvent>)	.text	004123F0	0000009B	00000020	00000004	R	.	.	.	.	B	T	.
AdminUI::onLocation(AutoRef<DFCMouseEvent>)	.text	00412480	0000007B	00000018	00000004	R	.	.	.	.	B	.	.
AdminUI::onTransferSelfToHub(AutoRef<DFCMouseEvent>)	.text	004124F0	0000009B	00000020	00000004	R	.	.	.	.	B	T	.
AdminUI::onTransferSelfToTownston(AutoRef<DFCMouseEvent>)	.text	00412580	0000009B	00000020	00000004	R	.	.	.	.	B	T	.
AdminUI::onInvalidateShaders(AutoRef<DFCMouseEvent>)	.text	00412610	0000002F	00000004	00000004	R	.	.	.	.	B	.	.
AdminUI::onCloseButton(AutoRef<DFCMouseEvent>)	.text	00412640	00000077	00000014	00000004	R	.	.	.	.	B	.	.
AdminUI::`scalar deleting destructor'(uint)	.text	004126B0	00000021	00000008	00000001	R	.	.	.	.	B	T	.
createAdminUI(void)	.text	004126E0	0000008D	0000001C	00000000	R	.	.	.	.	B	T	.
_register_class_AdminUI::_register_class_AdminUI(void)	.text	00412760	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
ChatControl::processChat(String const &)	.text	004128A0	000008EE	00000044	00000004	R	.	.	.	.	B	T	.
ChatControl::dumpRosters(void)	.text	00413140	00000358	00000030	00000004	R	.	.	.	.	B	T	.
ChatControl::getDesiredFont(void)	.text	00413470	00000188	0000001C	00000004	R	.	.	.	.	B	T	.
ChatControl::doLayout(void)	.text	004135E0	000004A2	00000048	00000000	R	.	.	.	.	B	T	.
std::vector<ChatControl::Line>::push_back(ChatControl::Line const &)	.text	00413A50	0000007D	00000010	00000000	R	.	.	.	.	B	.	.
List<String>::~List<String>(void)	.text	00413AD0	0000001D	00000004	00000000	R	.	.	.	.	.	.	.
List<String>::addFront(String)	.text	00413AF0	0000007A	00000018	00000004	R	.	.	.	.	B	T	.
std::list<String>::remove(String const &)	.text	00413B60	0000005C	00000010	00000004	R	.	.	.	.	B	.	.
std::vector<ChatControl::Line>::insert(std::vector<ChatControl::Line>::iterator,ChatControl::Line const &)	.text	00413BC0	00000062	0000000C	0000000C	R	.	.	.	.	B	.	.
std::vector<ChatControl::Line>::erase(std::vector<ChatControl::Line>::iterator)	.text	00413C30	00000044	0000000C	00000008	R	.	.	.	.	B	.	.
std::vector<ChatControl::Line>::_Tidy(void)	.text	00413C80	00000039	00000004	00000000	R	.	.	.	.	.	.	.
std::vector<ChatControl::Line>::_Destroy(ChatControl::Line *,ChatControl::Line *)	.text	00413CC0	00000016	00000004	00000000	R	.	.	.	.	.	.	.
std::vector<ChatControl::Line>::_Insert_n(std::vector<ChatControl::Line>::iterator,uint,ChatControl::Line const &)	.text	00413CE0	00000310	0000002C	00000010	R	.	.	.	.	B	T	.
std::list<String>::clear(void)	.text	00413FE0	0000003A	00000004	00000000	R	.	.	.	.	.	.	.
std::list<String>::_Buynode(std::_List_nod<String>::_Node *,std::_List_nod<String>::_Node *,String const &)	.text	00414020	00000060	00000008	0000000C	R	.	.	.	.	B	.	.
std::fill<ChatControl::Line *,ChatControl::Line>(ChatControl::Line *,ChatControl::Line *,ChatControl::Line const &)	.text	00414080	0000005E	00000008	00000004	R	.	.	.	.	B	.	.
std::_List_nod<String>::_Node::~_Node(void)	.text	004140E0	00000014	00000000	00000000	R	.	.	.	.	.	.	.
IsKindOf<DFCScrollButton,DFCControl>(DFCControl *)	.text	00414100	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
std::_Copy_opt<ChatControl::Line *,ChatControl::Line *>(ChatControl::Line *,ChatControl::Line *,ChatControl::Line *,std::_Nonscalar_ptr_iterator_tag)	.text	00414140	00000064	0000000C	00000004	R	.	.	.	.	B	.	.
std::_Uninit_fill_n<ChatControl::Line *,uint,ChatControl::Line,std::allocator<ChatControl::Line>>(ChatControl::Line *,uint,ChatControl::Line const &,std::allocator<ChatControl::Line> &,std::_Nonscalar_ptr_iterator_tag)	.text	004141B0	00000037	00000000	00000000	R	.	.	.	.	.	.	.
std::_Copy_backward_opt<ChatControl::Line *,ChatControl::Line *>(ChatControl::Line *,ChatControl::Line *,ChatControl::Line *,std::_Nonscalar_ptr_iterator_tag)	.text	004141F0	00000065	0000000C	00000004	R	.	.	.	.	B	.	.
IsKindOf<HTMLLabel,DFCNode>(DFCNode *)	.text	00414260	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
std::_Uninit_copy<ChatControl::Line *,ChatControl::Line *,std::allocator<ChatControl::Line>>(ChatControl::Line *,ChatControl::Line *,ChatControl::Line *,std::allocator<ChatControl::Line> &,std::_Nonscalar_ptr_iterator_tag)	.text	004142A0	00000035	00000000	00000000	R	.	.	.	.	.	.	.
String::subStringFindEnd(uint *,char)	.text	004142E0	00000099	00000014	0000000D	R	.	.	.	.	B	.	.
String::subString(uint,uint)	.text	00414380	00000026	00000008	00000004	R	.	.	.	.	B	T	.
String::String(String const &,uint,uint)	.text	004143B0	0000009C	00000004	00000004	R	.	.	.	.	B	T	.
DFCEvent::getContextString(void)	.text	00414450	00000049	0000000C	00000000	R	.	.	.	.	B	T	.
String::operator+(char const *)	.text	004144A0	00000089	00000010	00000000	R	.	.	.	.	B	T	.
String::equals(String const &)	.text	00414530	00000072	00000004	00000000	R	.	.	.	.	.	T	.
CheckpointDialog::getClass(void)	.text	004145B0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
ZoneRegistry::getClass(void)	.text	004145C0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
ZoneRegistry::getInstance(void)	.text	004145D0	00000063	00000000	00000000	R	.	.	.	.	.	T	.
ZoneRegistry::~ZoneRegistry(void)	.text	00414640	00000022	00000000	00000000	R	.	.	.	.	.	T	.
ZoneRegistry::`vector deleting destructor'(uint)	.text	00414670	00000021	00000008	00000001	R	.	.	.	.	B	T	.
createCheckpointDialog(void)	.text	004146A0	000000A1	0000001C	00000000	R	.	.	.	.	B	T	.
CheckpointDialog::~CheckpointDialog(void)	.text	00414730	000000B9	00000018	00000004	R	.	.	.	.	B	T	.
_register_class_CheckpointDialog::_register_class_CheckpointDialog(void)	.text	004147D0	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
CheckpointDialog::initialize(WorldUI *,Player *,CheckpointEntity *)	.text	00414910	00001014	00000068	00000008	R	.	.	.	.	B	T	.
BankControl::onClose(AutoRef<DFCEvent>)	.text	004157A0	00000069	00000010	00000004	R	.	.	.	.	B	.	.
CheckpointDialog::onGoToCheckpoint(AutoRef<DFCEvent>)	.text	00415800	000000BA	0000001C	00000004	R	.	.	.	.	B	.	.
CheckpointDialog::onGoToInstance(AutoRef<DFCEvent>)	.text	004158B0	00000085	0000001C	00000004	R	.	.	.	.	B	.	.
[thunk]:ZoneRegistry::`vector deleting destructor'`adjustor{16}' (uint)	.text	00415930	00000008	00000000	00000000	R	.	.	.	.	.	.	.
DFCControl::setHeight(long)	.text	00415940	00000024	0000000C	00000000	R	.	.	.	.	B	T	.
SynchronizedObject::~SynchronizedObject(void)	.text	00415970	00000011	00000000	00000000	R	.	.	.	.	.	T	.
SynchronizedObject::`vector deleting destructor'(uint)	.text	00415990	0000002C	00000008	00000001	R	.	.	.	.	B	T	.
_register_class_Compass::_register_class_Compass(void)	.text	004159C0	00000166	00000024	00000004	R	.	.	.	.	B	T	.
WorldInputHandler::getClass(void)	.text	00415B00	00000006	00000000	00000000	R	.	.	.	.	.	T	.
WorldInputHandler::init(WorldUI *)	.text	00415B10	00000011	00000004	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::getClass(void)	.text	00415B30	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createDefaultWorldInputHandler(void)	.text	00415B40	0000006D	00000014	00000000	R	.	.	.	.	B	T	.
_register_class_DefaultWorldInputHandler::_register_class_DefaultWorldInputHandler(void)	.text	00415BA0	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
WorldCamera::getCamera(void)	.text	00415CE0	00000024	00000008	00000000	R	.	.	.	.	B	.	.
PathManager::FindFirstReachablePointInDir(VectorType2D const &,VectorType2D const &,Fixed32,VectorType2D &,PathMap::Node * &)	.text	00415D10	00000046	00000004	0000000C	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::DefaultWorldInputHandler(void)	.text	00415D60	0000016C	00000024	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::`scalar deleting destructor'(uint)	.text	00415EA0	00000022	00000008	00000001	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::~DefaultWorldInputHandler(void)	.text	00415ED0	000000E7	0000001C	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::begin(void)	.text	00415F90	00000032	00000004	00000000	R	.	.	.	.	.	T	.
DefaultWorldInputHandler::end(void)	.text	00415FD0	00000007	00000000	00000000	R	.	.	.	.	.	T	.
DefaultWorldInputHandler::OnAfterZoneChange(void)	.text	00415FE0	0000007C	00000010	00000000	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::update(void)	.text	00416060	000001BE	00000028	00000000	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::onMouse(AutoRef<DFCMouseEvent>)	.text	00416210	0000022C	0000002C	00000004	R	.	.	.	.	B	.	.
DefaultWorldInputHandler::onKey(AutoRef<DFCKeyboardEvent>)	.text	00416450	00000382	00000028	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::suggestPick(AutoRef<WorldEntity>)	.text	00416800	0000009A	00000014	00000004	R	.	.	.	.	B	.	.
DefaultWorldInputHandler::loadConfigSettings(void)	.text	00416890	00000967	00000034	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::UpdateCameraPosition(float)	.text	004170D0	000001C0	0000001C	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::ApplyPitchPath(WorldCamera *)	.text	00417290	00000064	0000001C	00000000	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::UpdateMouseWorldInfo(DFCMouse *,Unit *)	.text	00417300	00000238	0000004C	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::SetControlState(DefaultWorldInputHandler::ControlState,Avatar *,Unit *)	.text	00417540	00000067	00000004	00000008	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::UpdateControlState(Avatar *,Unit *,ulong)	.text	004175B0	000001A2	0000003C	00000008	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::UpdateMouseOver(Avatar *)	.text	00417760	0000044F	00000034	00000008	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::UpdateKeyboardWalking(Avatar *,Unit *,ulong)	.text	00417B50	00000071	00000010	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::GetKeyboardWalkingHeadingOffset(Fixed32 &)	.text	00417BD0	00000072	00000000	00000000	R	.	.	.	.	.	T	.
DefaultWorldInputHandler::onWASDButton(int,int,Avatar *,Unit *,WorldCamera *)	.text	00417C50	0000013F	00000014	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::onTurnAvatarButton(int,int,Avatar *,Unit *)	.text	00417DA0	0000006D	0000000C	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::onSkillSlotKey(int,Unit *)	.text	00417E10	00000247	0000001C	0000000C	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::useSkill(Unit *,ulong)	.text	00418020	000002CB	00000038	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::useWeapon(Avatar *,Unit *)	.text	004182C0	0000033A	0000003C	0000000C	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::setTargetEntity(WorldEntity *)	.text	004185D0	0000009B	00000010	00000008	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::onMouseClick(Avatar *,Unit *,DFCMouse *,ulong)	.text	00418670	00000389	00000034	00000010	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::onMouseReleased(Avatar *,Unit *,DFCMouse *,ulong)	.text	004189D0	00000128	00000014	0000000C	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::PathToMousePoint(Avatar *,Unit *)	.text	00418B00	00000335	0000004C	00000008	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::EnableMouseLook(Avatar *,Unit *,DFCMouse *)	.text	00418E20	00000160	00000018	00000000	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::Interact(Avatar *,Unit *,ulong)	.text	00418F70	00000049	00000004	00000004	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::UseNearbyPortal(Avatar *,Unit *)	.text	00418FC0	00000344	0000007C	0000000C	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::ComputeUsePosition(Unit *,ushort,Vector3 &)	.text	004192F0	00000206	0000003C	00000006	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::ClearInputs(void)	.text	00419500	000000B3	00000014	00000000	R	.	.	.	.	B	T	.
DefaultWorldInputHandler::Reset(void)	.text	004195C0	00000075	00000004	00000000	R	.	.	.	.	.	T	.
DefaultWorldInputHandler::ResetCamera(void)	.text	00419640	00000073	0000000C	00000000	R	.	.	.	.	B	T	.
Watcher<Unit,DefaultWatchableValidator<Unit>>::~Watcher<Unit,DefaultWatchableValidator<Unit>>(void)	.text	004196C0	0000003A	00000004	00000000	R	.	.	.	.	.	.	.
Watcher<Unit,DefaultWatchableValidator<Unit>>::operator=(Unit const *)	.text	00419700	00000034	0000000C	00000000	R	.	.	.	.	.	T	.
IsKindOf<ActiveSkill,Skill>(Skill *)	.text	00419740	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
IsKindOf<ActivePassiveSkill,Skill>(Skill *)	.text	00419780	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
IsKindOf<ZonePortal,WorldEntity>(WorldEntity *)	.text	004197C0	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
DynamicCast<Effect,GCObject>(AutoRef<GCObject> const &)	.text	00419800	0000001A	00000004	00000000	R	.	.	.	.	.	.	.
IsKindOf<Effect,DFCObject>(DFCObject *)	.text	00419820	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
BaseWatcher::StartWatching(Watchable *)	.text	00419860	0000004A	00000010	00000004	R	.	.	.	.	B	T	.
BaseWatcher::StopWatching(Watchable *)	.text	004198B0	00000032	00000000	00000000	R	.	.	.	.	.	T	.
VectorType::normalize(void)	.text	004198F0	00000025	0000000C	00000000	R	.	.	.	.	B	T	.
VectorType::magnitude(void)	.text	00419920	00000062	00000014	00000000	R	.	.	.	.	B	.	.
VectorType::operator=/(Fixed32)	.text	00419990	0000007A	00000010	00000004	R	.	.	.	.	B	.	.
Fixed32::operator=/(Fixed32)	.text	00419A10	00000032	0000000C	00000004	R	.	.	.	.	B	.	.
VectorType::magnitudeSquared(void)	.text	00419A50	0000005C	00000014	00000000	R	.	.	.	.	B	.	.
ABS<Fixed32>(Fixed32 const &)	.text	00419AB0	00000024	00000008	00000000	R	.	.	.	.	B	.	.
Plane::rayIntersection(Vector3 const &,Vector3 const &,Vector3 &)	.text	00419AE0	0000009E	00000020	00000000	R	.	.	.	.	B	T	.
Vector3::operator*(float)	.text	00419B80	00000041	00000010	00000004	R	.	.	.	.	B	T	.
sub_419BD0	.text	00419BD0	00000056	0000000C	00000014	R	.	.	.	.	B	.	.
sub_419C30	.text	00419C30	00000056	0000000C	00000014	R	.	.	.	.	B	.	.
sub_419C90	.text	00419C90	00000058	0000000C	0000000C	R	.	.	.	.	B	.	.
sub_419CF0	.text	00419CF0	0000003A	00000008	00000009	R	.	.	.	.	B	.	.
sub_419D30	.text	00419D30	00000055	0000000C	00000008	R	.	.	.	.	B	.	.
sub_419D90	.text	00419D90	0000003E	00000008	00000010	R	.	.	.	.	B	.	.
sub_419DD0	.text	00419DD0	0000003E	00000008	00000010	R	.	.	.	.	B	.	.
sub_419E10	.text	00419E10	0000003E	00000008	00000010	R	.	.	.	.	B	.	.
sub_419E50	.text	00419E50	0000003E	00000008	00000010	R	.	.	.	.	B	.	.
sub_419E90	.text	00419E90	0000003E	00000008	00000010	R	.	.	.	.	B	.	.
sub_419ED0	.text	00419ED0	0000003E	00000008	00000010	R	.	.	.	.	B	.	.
sub_419F10	.text	00419F10	0000000D	00000004	00000010	R	.	.	.	.	B	.	.
sub_419F20	.text	00419F20	00000033	00000008	00000008	R	.	.	.	.	B	.	.
sub_419F60	.text	00419F60	00000041	00000008	00000010	R	.	.	.	.	B	.	.
sub_419FB0	.text	00419FB0	000000C3	00000014	00000010	R	.	.	.	.	B	.	.
sub_41A080	.text	0041A080	0000063B	0000003C	00000018	R	.	.	.	.	B	.	.
std::map<std::string,Fixed32 (*)(GCObject *,int,Fixed32,Unit *)>::~map<std::string,Fixed32 (*)(GCObject *,int,Fixed32,Unit *)>(void)	.text	0041A630	00000030	0000000C	00000000	R	.	.	.	.	B	.	.
DescriptionFormatter::Format(String const &,GCObject *,int,Fixed32,Unit *)	.text	0041A660	0000031F	00003048	00000018	R	.	.	.	.	B	T	.
